Model,Time,Article
gpt-oss:20b,38.867458,microsoft-copilot-entertainment-only
gpt-oss:20b,45.878223,microsoft-copilot-entertainment-only
gpt-oss:20b,43.572874,microsoft-copilot-entertainment-only
gpt-oss:20b,69.378936,nhl-playoff-spots
gpt-oss:20b,50.752972,nhl-playoff-spots
gpt-oss:20b,33.751485,nhl-playoff-spots
gpt-oss:20b,44.513046,outlook-in-space
gpt-oss:20b,34.430386,outlook-in-space
gpt-oss:20b,34.881931,outlook-in-space
gpt-oss:20b,34.872451,pete-beer-horse
gpt-oss:20b,23.933222,pete-beer-horse
gpt-oss:20b,47.254625,pete-beer-horse
gpt-oss:20b,36.836083,pope-leo-xiv-carries-cross
gpt-oss:20b,25.759792,pope-leo-xiv-carries-cross
gpt-oss:20b,36.759684,pope-leo-xiv-carries-cross
gpt-oss:20b,52.790783,savannah-homeless-camps
gpt-oss:20b,37.722935,savannah-homeless-camps
gpt-oss:20b,43.406723,savannah-homeless-camps
gpt-oss:20b,36.024217,whitehouse-app-privacy-policy
gpt-oss:20b,26.95078,whitehouse-app-privacy-policy
gpt-oss:20b,39.594938,whitehouse-app-privacy-policy
gpt-oss:20b,33.222115,whitehouse-liberated-homeland-security
gpt-oss:20b,36.86296,whitehouse-liberated-homeland-security
gpt-oss:20b,34.244064,whitehouse-liberated-homeland-security
gpt-oss:20b,39.038562,whitehouse-trump-ended-trans-for-everybody
gpt-oss:20b,24.820587,whitehouse-trump-ended-trans-for-everybody
gpt-oss:20b,31.961342,whitehouse-trump-ended-trans-for-everybody
llama3.1:8b,6.007246,christians-trump-war-apocalypse
llama3.1:8b,5.76625,christians-trump-war-apocalypse
llama3.1:8b,8.469782,christians-trump-war-apocalypse
llama3.1:8b,4.256572,empty-apartments
llama3.1:8b,3.158616,empty-apartments
llama3.1:8b,3.261148,empty-apartments
llama3.1:8b,5.205469,fema-teleporting-waffle-house
llama3.1:8b,5.0408,fema-teleporting-waffle-house
llama3.1:8b,3.789261,fema-teleporting-waffle-house
llama3.1:8b,7.324428,france-antisemitisme-proposition
llama3.1:8b,8.171323,france-antisemitisme-proposition
llama3.1:8b,8.037092,france-antisemitisme-proposition
llama3.1:8b,5.154571,gemma-4
llama3.1:8b,3.390049,gemma-4
llama3.1:8b,5.045272,gemma-4
llama3.1:8b,7.143241,maia-gbyte-leaks
llama3.1:8b,5.562822,maia-gbyte-leaks
llama3.1:8b,5.116163,maia-gbyte-leaks
llama3.1:8b,7.10197,manjar-governance
llama3.1:8b,6.067504,manjar-governance
llama3.1:8b,6.387456,manjar-governance
llama3.1:8b,5.156405,microsoft-copilot-entertainment-only
llama3.1:8b,4.531611,microsoft-copilot-entertainment-only
llama3.1:8b,5.021593,microsoft-copilot-entertainment-only
llama3.1:8b,5.063684,nhl-playoff-spots
llama3.1:8b,4.137636,nhl-playoff-spots
llama3.1:8b,3.58686,nhl-playoff-spots
llama3.1:8b,3.323277,outlook-in-space
llama3.1:8b,4.114784,outlook-in-space
llama3.1:8b,3.43501,outlook-in-space
llama3.1:8b,3.762735,pete-beer-horse
llama3.1:8b,3.338603,pete-beer-horse
llama3.1:8b,3.846699,pete-beer-horse
llama3.1:8b,4.327216,pope-leo-xiv-carries-cross
llama3.1:8b,4.0715,pope-leo-xiv-carries-cross
llama3.1:8b,4.02942,pope-leo-xiv-carries-cross
llama3.1:8b,3.774513,savannah-homeless-camps
llama3.1:8b,4.858671,savannah-homeless-camps
llama3.1:8b,4.292945,savannah-homeless-camps
llama3.1:8b,4.260826,whitehouse-app-privacy-policy
llama3.1:8b,3.715459,whitehouse-app-privacy-policy
llama3.1:8b,3.842598,whitehouse-app-privacy-policy
llama3.1:8b,3.666842,whitehouse-liberated-homeland-security
llama3.1:8b,3.252549,whitehouse-liberated-homeland-security
llama3.1:8b,3.571511,whitehouse-liberated-homeland-security
llama3.1:8b,4.110026,whitehouse-trump-ended-trans-for-everybody
llama3.1:8b,4.221767,whitehouse-trump-ended-trans-for-everybody
llama3.1:8b,4.113718,whitehouse-trump-ended-trans-for-everybody
